07/09/2048;segunda-feira;Independência do Brasil
12/10/2048;segunda-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2048;segunda-feira;Finados
25/12/2048;sexta-feira;Natal
01/01/2049;sexta-feira;Confraternização Universal
01/03/2049;segunda-feira;Carnaval
02/03/2049;terça-feira;Carnaval
16/04/2049;sexta-feira;Paixão de Cristo
21/04/2049;quarta-feira;Tiradentes
17/06/2049;quinta-feira;Corpus Christi
07/09/2049;terça-feira;Independência do Brasil
12/10/2049;terça-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2049;terça-feira;Finados
15/11/2049;segunda-feira;Proclamação da República
21/02/2050;segunda-feira;Carnaval
22/02/2050;terça-feira;Carnaval
08/04/2050;sexta-feira;Paixão de Cristo
21/04/2050;quinta-feira;Tiradentes
09/06/2050;quinta-feira;Corpus Christi
07/09/2050;quarta-feira;Independência do Brasil
12/10/2050;quarta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2050;quarta-feira;Finados
15/11/2050;terça-feira;Proclamação da República
13/02/2051;segunda-feira;Carnaval
14/02/2051;terça-feira;Carnaval
31/03/2051;sexta-feira;Paixão de Cristo
21/04/2051;sexta-feira;Tiradentes
01/05/2051;segunda-feira;Dia do Trabalho
01/06/2051;quinta-feira;Corpus Christi
07/09/2051;quinta-feira;Independência do Brasil
12/10/2051;quinta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2051;quinta-feira;Finados
15/11/2051;quarta-feira;Proclamação da República
25/12/2051;segunda-feira;Natal
01/01/2052;segunda-feira;Confraternização Universal
04/03/2052;segunda-feira;Carnaval
05/03/2052;terça-feira;Carnaval
19/04/2052;sexta-feira;Paixão de Cristo
01/05/2052;quarta-feira;Dia do Trabalho
20/06/2052;quinta-feira;Corpus Christi
15/11/2052;sexta-feira;Proclamação da República
25/12/2052;quarta-feira;Natal
01/01/2053;quarta-feira;Confraternização Universal
17/02/2053;segunda-feira;Carnaval
18/02/2053;terça-feira;Carnaval
04/04/2053;sexta-feira;Paixão de Cristo
21/04/2053;segunda-feira;Tiradentes
01/05/2053;quinta-feira;Dia do Trabalho
05/06/2053;quinta-feira;Corpus Christi
25/12/2053;quinta-feira;Natal
01/01/2054;quinta-feira;Confraternização Universal
09/02/2054;segunda-feira;Carnaval
10/02/2054;terça-feira;Carnaval
27/03/2054;sexta-feira;Paixão de Cristo
21/04/2054;terça-feira;Tiradentes
01/05/2054;sexta-feira;Dia do Trabalho
28/05/2054;quinta-feira;Corpus Christi
07/09/2054;segunda-feira;Independência do Brasil
12/10/2054;segunda-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2054;segunda-feira;Finados
25/12/2054;sexta-feira;Natal
01/01/2055;sexta-feira;Confraternização Universal
01/03/2055;segunda-feira;Carnaval
02/03/2055;terça-feira;Carnaval
16/04/2055;sexta-feira;Paixão de Cristo
21/04/2055;quarta-feira;Tiradentes
17/06/2055;quinta-feira;Corpus Christi
07/09/2055;terça-feira;Independência do Brasil
12/10/2055;terça-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2055;terça-feira;Finados
15/11/2055;segunda-feira;Proclamação da República
14/02/2056;segunda-feira;Carnaval
15/02/2056;terça-feira;Carnaval
31/03/2056;sexta-feira;Paixão de Cristo
21/04/2056;sexta-feira;Tiradentes
01/05/2056;segunda-feira;Dia do Trabalho
01/06/2056;quinta-feira;Corpus Christi
07/09/2056;quinta-feira;Independência do Brasil
12/10/2056;quinta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2056;quinta-feira;Finados
15/11/2056;quarta-feira;Proclamação da República
25/12/2056;segunda-feira;Natal
01/01/2057;segunda-feira;Confraternização Universal
05/03/2057;segunda-feira;Carnaval
06/03/2057;terça-feira;Carnaval
20/04/2057;sexta-feira;Paixão de Cristo
01/05/2057;terça-feira;Dia do Trabalho
21/06/2057;quinta-feira;Corpus Christi
07/09/2057;sexta-feira;Independência do Brasil
12/10/2057;sexta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2057;sexta-feira;Finados
15/11/2057;quinta-feira;Proclamação da República
25/12/2057;terça-feira;Natal
01/01/2058;terça-feira;Confraternização Universal
25/02/2058;segunda-feira;Carnaval
26/02/2058;terça-feira;Carnaval
12/04/2058;sexta-feira;Paixão de Cristo
01/05/2058;quarta-feira;Dia do Trabalho
13/06/2058;quinta-feira;Corpus Christi
15/11/2058;sexta-feira;Proclamação da República
25/12/2058;quarta-feira;Natal
01/01/2059;quarta-feira;Confraternização Universal
10/02/2059;segunda-feira;Carnaval
11/02/2059;terça-feira;Carnaval
28/03/2059;sexta-feira;Paixão de Cristo
21/04/2059;segunda-feira;Tiradentes
01/05/2059;quinta-feira;Dia do Trabalho
29/05/2059;quinta-feira;Corpus Christi
25/12/2059;quinta-feira;Natal
01/01/2060;quinta-feira;Confraternização Universal
01/03/2060;segunda-feira;Carnaval
02/03/2060;terça-feira;Carnaval
16/04/2060;sexta-feira;Paixão de Cristo
21/04/2060;quarta-feira;Tiradentes
17/06/2060;quinta-feira;Corpus Christi
07/09/2060;terça-feira;Independência do Brasil
12/10/2060;terça-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2060;terça-feira;Finados
15/11/2060;segunda-feira;Proclamação da República
21/02/2061;segunda-feira;Carnaval
22/02/2061;terça-feira;Carnaval
08/04/2061;sexta-feira;Paixão de Cristo
21/04/2061;quinta-feira;Tiradentes
09/06/2061;quinta-feira;Corpus Christi
07/09/2061;quarta-feira;Independência do Brasil
12/10/2061;quarta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2061;quarta-feira;Finados
15/11/2061;terça-feira;Proclamação da República
06/02/2062;segunda-feira;Carnaval
07/02/2062;terça-feira;Carnaval
24/03/2062;sexta-feira;Paixão de Cristo
21/04/2062;sexta-feira;Tiradentes
01/05/2062;segunda-feira;Dia do Trabalho
25/05/2062;quinta-feira;Corpus Christi
07/09/2062;quinta-feira;Independência do Brasil
12/10/2062;quinta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2062;quinta-feira;Finados
15/11/2062;quarta-feira;Proclamação da República
25/12/2062;segunda-feira;Natal
01/01/2063;segunda-feira;Confraternização Universal
26/02/2063;segunda-feira;Carnaval
27/02/2063;terça-feira;Carnaval
13/04/2063;sexta-feira;Paixão de Cristo
01/05/2063;terça-feira;Dia do Trabalho
14/06/2063;quinta-feira;Corpus Christi
07/09/2063;sexta-feira;Independência do Brasil
